Tin	Tout	_T	V	L	H	D	Nusselt
32.53	24.77	7.77	4.7	5	3	0.0762	43.54433865
32.21	24.9	7.31	4.7	10	3	0.0762	46.28447487
32.87	25.05	7.82	4.7	15	3	0.0762	43.26592216
34.18	25.19	9	4.7	20	3	0.0762	37.59327903
33.65	25.35	8.3	4.7	25	3	0.0762	40.76379654
34.51	25.4	9.12	4.7	30	3	0.0762	37.09863062
34.1	25.5	8.59	4.7	35	3	0.0762	39.38760318
34.66	25.55	9.11	4.7	40	3	0.0762	37.1393536
33.59	25.63	7.96	4.7	45	3	0.0762	42.50496373
34.93	25.76	9.17	4.7	50	3	0.0762	36.89634801
34.96	25.85	9.1	4.7	55	3	0.0762	37.18016608
35.07	25.98	9.09	4.7	60	3	0.0762	37.22106835
34.45	25.97	8.48	4.7	65	3	0.0762	39.89852727
35.57	26.06	9.52	4.7	70	3	0.0762	35.53986463
34.44	26.15	8.29	4.7	75	3	0.0762	40.81296879
34.72	26.17	8.55	4.7	80	3	0.0762	39.57187267
35.68	26.25	9.43	4.7	85	3	0.0762	35.8790574
35.42	26.32	9.1	4.7	90	3	0.0762	37.18016608
35.17	26.31	8.85	4.7	95	3	0.0762	38.23045325
34.32	26.27	8.05	4.7	100	3	0.0762	42.02975295
34.36	26.28	8.07	4.7	105	3	0.0762	41.92559
33.87	26.22	7.64	4.7	110	3	0.0762	44.28527635
34.1	26.22	7.88	4.7	115	3	0.0762	42.9364862
34	26.29	7.71	4.7	120	3	0.0762	43.8832051
34.05	26.28	7.78	4.7	125	3	0.0762	43.48836906
33.82	26.3	7.52	4.7	130	3	0.0762	44.99195629
33.1	26.25	6.85	4.7	135	3	0.0762	49.39262938
33.05	26.16	6.89	4.7	140	3	0.0762	49.10587972
33.27	26.2	7.07	4.7	145	3	0.0762	47.85565931
33.23	26.17	7.07	4.7	150	3	0.0762	47.85565931
32.95	26.08	6.87	4.7	155	3	0.0762	49.24883716
32.32	26.07	6.25	4.7	160	3	0.0762	54.13432181
32.26	26.05	6.22	4.7	165	3	0.0762	54.39541982
32.07	26.05	6.03	4.7	170	3	0.0762	56.10937169
31.74	26	5.74	4.7	175	3	0.0762	58.94416573
31.95	25.98	5.97	4.7	180	3	0.0762	56.67328497
31.96	25.95	6.01	4.7	185	3	0.0762	56.29609173
31.61	25.94	5.67	4.7	190	3	0.0762	59.67187148
31.54	25.88	5.66	4.7	195	3	0.0762	59.77729881
