deltaT,vel,longitud,height,D,Nusselt
7.77,4.7,5,3,0.0762,43.54433865
7.31,4.7,10,3,0.0762,46.28447487
7.82,4.7,15,3,0.0762,43.26592216
9,4.7,20,3,0.0762,37.59327903
8.3,4.7,25,3,0.0762,40.76379654
9.12,4.7,30,3,0.0762,37.09863062
8.59,4.7,35,3,0.0762,39.38760318
9.11,4.7,40,3,0.0762,37.1393536
7.96,4.7,45,3,0.0762,42.50496373
9.17,4.7,50,3,0.0762,36.89634801
9.1,4.7,55,3,0.0762,37.18016608
9.09,4.7,60,3,0.0762,37.22106835
8.48,4.7,65,3,0.0762,39.89852727
9.52,4.7,70,3,0.0762,35.53986463
8.29,4.7,75,3,0.0762,40.81296879
8.55,4.7,80,3,0.0762,39.57187267
9.43,4.7,85,3,0.0762,35.8790574
9.1,4.7,90,3,0.0762,37.18016608
8.85,4.7,95,3,0.0762,38.23045325
8.05,4.7,100,3,0.0762,42.02975295
8.07,4.7,105,3,0.0762,41.92559
7.64,4.7,110,3,0.0762,44.28527635
7.88,4.7,115,3,0.0762,42.9364862
7.71,4.7,120,3,0.0762,43.8832051
7.78,4.7,125,3,0.0762,43.48836906
7.52,4.7,130,3,0.0762,44.99195629
6.85,4.7,135,3,0.0762,49.39262938
6.89,4.7,140,3,0.0762,49.10587972
7.07,4.7,145,3,0.0762,47.85565931
7.07,4.7,150,3,0.0762,47.85565931
6.87,4.7,155,3,0.0762,49.24883716
6.25,4.7,160,3,0.0762,54.13432181
6.22,4.7,165,3,0.0762,54.39541982
6.03,4.7,170,3,0.0762,56.10937169
5.74,4.7,175,3,0.0762,58.94416573
5.97,4.7,180,3,0.0762,56.67328497
6.01,4.7,185,3,0.0762,56.29609173
5.67,4.7,190,3,0.0762,59.67187148
5.66,4.7,195,3,0.0762,59.77729881
